issue_number,pr_number,topic,type,yes,no,abstain,missed
740,882,"Stray subsection 'Host Rank' in Section 16.4",errata
752,880,"Fix WG chairs",errata
755,885,"chap-dynamic: remove use of \const",errata
792,909,"Removed Interfaces RC Issues",errata
791,908,"POST-RC4.1 FIXES -- Point-to-Point Chapter 3",errata
787,883,"Fixes for typos in the datatype chapter",errata
790,906,"mpi-4.1rc reviewer feedback for chap-11",errata
779,910,"change-log entry for PR 629 missing",errata
784,886,"Reviewers comments and changes to chapter 7 in RC 4.1",errata
788,890,"41rc1: Environmental management (chap-inquiry): error handler related problems",errata
765,888,"MPI_Psend_init_c & MPI_Precv_init_c",errata
762,895,"Code examples in tools chapter have inconsistent coding style",errata
761,893,"Text about event types in tools chapter does not reference the correct index",errata
758,903,"RMA-specific operators are not *new*",errata
763,905,"RMA: remove reference to MPI-2 RMA",errata
760,904,"RMA: Contradicting rules about use  of MPI_REQUEST_FREE",errata
794,913,"41rc1: chap10 - harmonizing mention to mpif.h and adding a missing (deprecated)",errata
745,857,"RMA chapter committee changes",errata
795,914,"MPI 4.1rc topology chapter review: Update neighbor collective LIS entries to use associated virtual topology",errata
749,876,"Corrections and edits to the Virtual Topologies chapter for MPI4.1rc1",errata
764,912,"MPI 4.1 RMA chapter review issues",errata
797,915,"41rc1 collective chapter : use rank instead of MPI process for several collectives LIS",errata
777,917,"change-log entry missing for PR 663",errata
776,916,"change-log entry missing for PR 671",errata
,,"Vote to ratify MPI 4.1",procedure
800,919,"41rc1 io chapter : Example 14.4 is used as a noun, which makes the text flow a bit odd",errata
799,918,"41rc1 io chapter : fix most of small reviews",errata
754,874,"Non-negative used in LIS (rest uses nonnegative)",errata
801,921,"Change-log entry have incorrect/no references.",errata
747,874,"Errata entry of PR #754 in wrong section",errata
780,922,"change-log entry missing for PR 620",errata
784,886,"Reviewers comments and changes to chapter 7 in RC 4.1",errata
765,888,"MPI_Psend_init_c & MPI_Precv_init_c",errata
