name,org
"Brian Barrett",Sandia National Laboratory
"Ron Brightwell",Sandia National Laboratory
"Darius Buntinas","Argonne National Laboratory"
"James Dinan","Argonne National Laboratory"
"Dave Goodell","Argonne National Laboratory"
"Rich Graham",Oak Ridge National Laboratory
"Atsushi Hori","Riken AICS"
"Marc-Andre Hermanns","German Research School for Simulation Sciences GmbH"
"Torsten Hoefler","Indiana U."
"Hideyuki Jitsumoto","University of Tokyo"
"Nusal Jan","IBM"
"Guillaume Mercier","INRIA"
"Adam Moody",Lawrence Livermore National Laboratory
"Sreeram Potluri","Ohio State U."
"Howard Pritchard","Cray Inc."
"Rolf Rabenseifner","HLRS"
"Martin Schulz",Lawrence Livermore National Laboratory
"Christian Siebert","German Research School for Simulation Scienses GmbH"
"Raffaele Giuseppe Solca","ETH Zurich"
"Shinji Sumimoto","Fujitsu"
"Alexander Supalov","Intel"
