name,org,attend,remote
Quincey Koziol,Amazon,1,0
Edgar Gabriel,AMD,1,1
Michael Klemm,AMD,1,1
Yanfei Guo,Argonne National Laboratory,1,0
Pierre Lemarinier,Atos,1,1
Julien Jaeger,CEA,1,0
Brian Smith,Cornelis Networks,1,0
Rolf Rabenseifner,"HLRS, University of Stuttgart",1,1
Christoph Niethammer,"HLRS, University of Stuttgart",1,1
Tobias Haas,"HLRS, University of Stuttgart",1,1
Naveen Ravichandrasekaran,HPE,1,1
Martin Schreiber,INRIA,1,1
Guillaume Mercier,INRIA,1,1
Daniel Holmes,Intel Corporation,1,1
Maria Garzaran,Intel Corporation,1,1
Alex Brooks,Intel Corporation,1,1
Ignacio Laguna,Lawrence Livermore National Laboratory,1,0
Bronis de Supinski,Lawrence Livermore National Laboratory,1,0
Howard Pritchard,Los Alamos National Laboratory,1,0
Wes Bland,Meta,1,0
James Dinan,NVIDIA,1,1
Thomas Naughton,Oak Ridge National Laboratory,1,1
Nathaniel Shineman,Ohio State University,1,0
Jean-Baptiste Besnard,ParaTools SAS,1,1
Ryan Grant,Queen's University,1,1
Marc-Andre Hermanns,RWTH Aachen University,1,1
Vivek Kale,Sandia National Laboratory,1,0
Dominik Huber,Technical University of Munich,1,0
Martin Schulz,Technical University of Munich,1,0
Victor Eijkhout,The Texas Advanced Computing Center,1,1
Shinji Sumimoto,The University of Tokyo,1,0
Purushotham Bangalore,University of Alabama,1,0
Ahmed Eleliemy,University of Basel,1,1
William Gropp,University of Illinois Urbana-Champaign,1,1
Patrick Bridges,University of New Mexico,1,0
Derek Schafer,University of New Mexico,1,0
Anthony Skjellum,"University of Tennessee, Chattanooga",1,0
Grace Nansamba,"University of Tennessee, Chattanooga",1,0
Evelyn Namugwanya,"University of Tennessee, Chattanooga",1,0
Joseph Schuchart,"University of Tennessee, Knoxville",1,0
Aurelien Bouteiller,"University of Tennessee, Knoxville",1,1
Claudia Blaas-Schenner,"VSC Research Center, TU Wien",1,1
Matthew Dosanjh,Sandia National Laboratory,1,1
